"","X","species","mat.low","mat.high","mat","map.low","map.high","map","tmin.low","tmin.high","tmin","etp.low","etp.high","etp","la","sla","ssd","sm","mean_ldmc","min_ldmc","max_ldmc","shade_tol_mean","shade_tol_sd","group","new_gp"
"73",73,"Pinus echinata",11.76,19.96,15.6371352785146,955.4,1566.8,1239.72148541114,-4.46,6.66,0.237400530503979,84.002,114.488,98.774774535809,70.93904715,NA,0.505287202333333,9.517636375,NA,NA,NA,1.86,0.36,"D","gymno"
"74",74,"Pinus elliottii",17.6,24.5,21.9994252873563,1083,1640.25,1375.99712643678,6.4,17.5,12.6064655172414,98.09,141.84,121.841681034483,238.969284733333,7.49640279906667,0.6,31.5274258333333,NA,NA,NA,2.65,NA,"D","gymno"
"75",75,"Pinus jeffreyi",4.5175,13.3,8.63787878787879,269.35,1728.65,579.668560606061,-9.5,1.2,-4.89128787878788,82.6725,131.62025,106.134128787879,170.5,4.73425,0.4025,125.426026066667,NA,NA,NA,1.74,0.26,"D","gymno"
"76",76,"Pinus nigra",7.3,13.8,10.3981495214889,378,1037,655.736236183212,-5.5,2.1,-2.15706289508069,61.94725,112.2,91.608522851597,100.316333333333,5.2438799648,0.482623751666667,18.5579206963141,NA,NA,NA,2.1,0.43,"D","gymno"
"77",77,"Pinus palustris",15.4,22.3,19.2315345699831,1123,1619.375,1353.413153457,0.5,12.2,6.10640809443508,94.65375,129.86875,108.603566610455,756.741631991667,4.1997450954375,0.593333333333333,97.7275387526667,0.26,0.26,0.26,0.87,0.13,"D","gymno"
"78",78,"Pinus pinaster",9.7,17.4,14.0991611753631,428,1505,826.710585888471,-3.2,8.8,2.71286533978842,77.55,116.1,96.0737929971989,314.091055254269,4.94760286402279,0.388379466666667,55.5196625,NA,NA,NA,1.35,NA,"D","gymno"
"79",79,"Pinus pinea",14.1,18.7,16.9942673942475,437,907,627.245276123556,1,9.5,5.52202094701783,91.9,123.63,106.281817676025,134.675,5.10333333333333,0.501085100333333,615.581555555556,NA,NA,NA,NA,NA,"D","gymno"
"80",80,"Pinus ponderosa",4.7,13.7,9.64956229938722,259.325,991,483.631601984243,-12.4,0.8,-5.89699445579224,67.37975,110.824,93.163698570178,145.848659003831,5.87163967571034,0.432131206466667,35.8693564833333,0.480169093146253,0.3382,0.5819,1.64,0.15,"D","gymno"
"81",81,"Pinus radiata",11,16.4,13.5634799585138,574,1219,821.018485754377,1.7,9.4,7.47004453663596,74.5205,115.04,104.778171564443,82.7907307,12.3821006133864,0.41,33.0138245555556,NA,NA,NA,2.97,0.03,"D","gymno"
"82",82,"Pinus resinosa",2.8,10.425,6.66317260656883,654,1365.25,905.034241788959,-19.425,-5.675,-11.9742837176799,59.9725,86.55,71.6790985324948,335.558956633333,6.3396155892483,0.436666666666667,9.06905638888889,0.494,0.46056,0.525825,1.89,0.21,"D","gymno"
"83",83,"Pinus rigida",7.305,13.1,10.1868997310795,829,1468,1122.27660391856,-10.7,-1.5,-5.79454475605071,67.224,94.86,76.7905681381958,238.818987953333,5.94799511,0.495,7.32093383325,NA,NA,NA,1.99,0.51,"D","gymno"
"84",84,"Pinus serotina",15.4,22.1,18.7255813953488,1108.875,1577.25,1333.03488372093,0.8,11.6,6.14767441860465,92.91,120.12625,104.971744186047,462.2678488,3.58984386225,0.545,8.34884216675,0.27,0.27,0.27,1.47,NA,"D","gymno"
"85",85,"Pinus strobus",4.5,13.5,8.83336765557629,639,1439,1003.1438960036,-15.7,0.9,-7.45649655705,57.6045,94.18,73.0440420876504,196.666666666667,11.9143252854197,0.356666666666667,17.2403714642857,0.3624114002,0.2113945497,0.689555,3.21,0.2,"D","gymno"
"86",86,"Pinus sylvestris",0.1,11.5,6.57014557106224,421,1386,712.009442971337,-15.2,2.2,-5.66218981923593,35.63,101.98,58.7689100593149,83.9107335730655,5.05729802450294,0.407668065584143,6.92086083333333,0.406538213765099,0.244550416290075,0.744897959183673,1.67,0.33,"D","gymno"
"87",87,"Pinus taeda",13.3,20.6,17.0476011288805,877.1,1585,1205.08278457197,-2.5,8.1,2.41081843838194,85.6625,124.757,104.103960489182,141.776049201149,9.28484060315065,0.489450467,25.3419448571429,NA,NA,NA,1.99,0.51,"D","gymno"
"88",88,"Pinus uncinata",0.7,9.2,5.3170704845815,515,1887.925,1150.86894273128,-11.7,0.3,-6.36648311306902,51.03175,102.25,71.3644244868035,37.46,3.74663874753898,0.401342576,10,0.48738785645,0.45663803057,0.528847225585,1.2,NA,"D","gymno"
"89",89,"Pinus virginiana",10.4,16.595,13.7228028503563,848,1697.825,1159.40736342043,-5.5,1.5,-1.83646080760095,79.5645,108.1005,92.8856532066508,43.9497833405882,7.70536524125,0.485,8.48875546425,NA,NA,NA,1.99,0.51,"D","gymno"
