"id_allom";"dbh_cm";"bal_m2ha";"species";"order";"h_m";"cradius_m";"cratio";"crown_lad";"e";"epot"
98;30;30;"Pinus nigra";"G";16.7532919963374;2.93029518639685;0.839239144266517;0.5;208031.570218814;208031.570218814
99;15;0;"Pinus nigra";"G";7.31460688937653;1.69037293071622;0.674619212507466;0.5;26513.3841054037;26513.3841054037
99;15;30;"Pinus nigra";"G";10.2765850567781;1.83186969842581;0.804387886571432;0.5;49143.4973432687;49143.4973432687
99;30;0;"Pinus nigra";"G";12.0216864567612;2.43183992590082;0.578861533746817;0.5;85235.5411603308;85235.5411603308
99;30;30;"Pinus nigra";"G";16.8897502309045;2.635402987548;0.731627838035944;0.5;165206.033667035;165206.033667035
100;15;0;"Pinus nigra";"G";7.31058613944725;1.7190368941087;0.697562306779774;0.5;27550.4724381005;27550.4724381005
100;15;30;"Pinus nigra";"G";10.4105129074914;2.07399669181553;0.619715014163467;0.5;57491.9712629953;57491.9712629953
100;30;0;"Pinus nigra";"G";11.9852121771082;2.42687826627088;0.637306648971001;0.5;88975.5728428439;88975.5728428439
100;30;30;"Pinus nigra";"G";17.0673327266536;2.92799852809126;0.553868971251649;0.5;177488.155585286;177488.155585286
1;15;0;"Pinus pinaster";"G";7.83909703002964;1.61535709384566;0.702422826525302;0.5;27077.1108779079;27077.1108779079
1;15;30;"Pinus pinaster";"G";10.5390838840328;1.823046443358;0.819003786488688;0.5;50599.641188035;50599.641188035
1;30;0;"Pinus pinaster";"G";12.8122803640145;2.31348809487154;0.664741347947389;0.5;89187.4313523401;89187.4313523401
1;30;30;"Pinus pinaster";"G";17.225159605096;2.61093739531354;0.791707116691764;0.5;172709.374816585;172709.374816585
2;15;0;"Pinus pinaster";"G";7.98192843049415;1.61370917065682;0.646993830399743;0.5;25757.2588091043;25757.2588091043
2;15;30;"Pinus pinaster";"G";10.7238803159852;1.79791805890331;0.731265989832566;0.5;47945.6370661734;47945.6370661734
2;30;0;"Pinus pinaster";"G";12.8938749672897;2.33539007809864;0.641139023737684;0.5;89576.8661172397;89576.8661172397
2;30;30;"Pinus pinaster";"G";17.3231786231303;2.60198062472938;0.726217431794834;0.5;166474.809953849;166474.809953849
3;15;0;"Pinus pinaster";"G";7.95739434490189;1.60245851219119;0.632931279630738;0.5;24784.2974854006;24784.2974854006
3;15;30;"Pinus pinaster";"G";10.7233938529244;1.78402949873361;0.672488820077845;0.5;43040.6775019146;43040.6775019146
3;30;0;"Pinus pinaster";"G";12.8670716860252;2.3215385307824;0.688312977101276;0.5;91420.8390798362;91420.8390798362
3;30;30;"Pinus pinaster";"G";17.3396807349959;2.58458686440448;0.724500095564956;0.5;164653.992646403;164653.992646403
4;15;0;"Pinus pinaster";"G";7.88812956232713;1.59807971510328;0.630749908269724;0.5;24421.5783652756;24421.5783652756
4;15;30;"Pinus pinaster";"G";10.6330518426983;1.77185917260919;0.719717515651559;0.5;45677.6376645907;45677.6376645907
4;30;0;"Pinus pinaster";"G";12.8591077783447;2.33244484022394;0.668234630265797;0.5;90927.2390214647;90927.2390214647
4;30;30;"Pinus pinaster";"G";17.3338379621704;2.58608112329909;0.751725624610464;0.5;166875.293762663;166875.293762663
5;15;0;"Pinus pinaster";"G";7.94712815777575;1.62584725888936;0.728376495829487;0.5;27901.0355328972;27901.0355328972
5;15;30;"Pinus pinaster";"G";10.6222957989288;1.77190843294415;0.784419915812139;0.5;48858.3539622839;48858.3539622839
5;30;0;"Pinus pinaster";"G";12.9139737712112;2.33806080338787;0.67726695700159;0.5;92351.5263372742;92351.5263372742
5;30;30;"Pinus pinaster";"G";17.2610843331116;2.54810507666579;0.740092793347244;0.5;160964.5769367;160964.5769367
6;15;0;"Pinus pinaster";"G";7.90085133595751;1.56559642485987;0.684536458942019;0.5;25415.5744891851;25415.5744891851
6;15;30;"Pinus pinaster";"G";10.5990344410437;1.73503692065175;0.774853312256839;0.5;46583.0694135962;46583.0694135962
6;30;0;"Pinus pinaster";"G";12.8651469900086;2.31156608143839;0.688843125604461;0.5;90713.0362375412;90713.0362375412
6;30;30;"Pinus pinaster";"G";17.2586636854705;2.56174096474503;0.778326266047644;0.5;166162.606352444;166162.606352444
7;15;0;"Pinus pinaster";"G";7.8940289537019;1.57366118135222;0.693485048604813;0.5;25904.7343341935;25904.7343341935
7;15;30;"Pinus pinaster";"G";10.7107031731642;1.75210498660681;0.769494226461758;0.5;47666.0837647625;47666.0837647625
7;30;0;"Pinus pinaster";"G";12.7981481229285;2.32162123074983;0.664572708565993;0.5;89536.3164571042;89536.3164571042
