"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"37","Corylus avellana",247.912467361631,2.47912467361631,247.807255342785,2.47807255342785,248.779951862367,2.48779951862367,248.430070880902,2.48430070880902,50353.5960811621,503.535960811621,50290.8236669101,502.908236669101
"38","Crataegus monogyna",213.047738164184,2.13047738164184,213.163636446447,2.13163636446447,213.438912723509,2.13438912723509,213.47632904708,2.1347632904708,70919.948253305,709.19948253305,70917.1140779118,709.171140779118
"39","Diospyros virginiana",353.962137652696,3.53962137652696,352.238735903729,3.52238735903729,353.962137652696,3.53962137652696,352.238735903729,3.52238735903729,143534.346089159,1435.34346089159,143136.053831157,1431.36053831157
"40","Erica arborea",272.937078757538,2.72937078757538,251.080960864904,2.51080960864904,272.937078757538,2.72937078757538,251.080960864904,2.51080960864904,26813.3785597641,268.133785597641,25969.0132850556,259.690132850556
"41","Eucalyptus camaldulensis",428.229512793312,4.28229512793312,466.884526434284,4.66884526434284,428.229512793312,4.28229512793312,466.884526434284,4.66884526434284,37583.0395282941,375.830395282941,38561.2958178807,385.612958178807
"42","Eucalyptus globulus",480.508257939522,4.80508257939522,483.157483685508,4.83157483685508,480.508257939522,4.80508257939522,483.157483685508,4.83157483685508,823165.23389793,8231.6523389793,823843.437423376,8238.43437423376
"43","Fagus grandifolia",394.639419138696,3.94639419138696,388.83083850536,3.8883083850536,399.152451588403,3.99152451588403,394.659291372002,3.94659291372002,1507478.2199531,15074.782199531,1499637.55787121,14996.3755787121
"44","Fagus sylvatica",520.249075159583,5.20249075159583,513.198789252214,5.13198789252214,534.81438792486,5.3481438792486,529.109358506245,5.29109358506244,4998204.6689222,49982.046689222,4976293.81998634,49762.9381998634
"45","Fraxinus americana",378.358472530218,3.78358472530218,376.923892448134,3.76923892448134,382.823082434211,3.82823082434211,383.484042580828,3.83484042580828,1490301.90344286,14903.0190344286,1487229.87165281,14872.2987165281
"46","Fraxinus angustifolia",501.568157750471,5.01568157750471,516.108803524938,5.16108803524938,502.925966286288,5.02925966286288,522.643342565292,5.22643342565292,61160.3078465954,611.603078465954,62283.9096474805,622.839096474805
"47","Fraxinus excelsior",430.565510874365,4.30565510874365,426.312618367638,4.26312618367638,447.209859162895,4.47209859162895,440.017030697007,4.40017030697007,1483387.11664216,14833.8711664216,1478522.24911343,14785.2224911343
"48","Fraxinus nigra",311.586234697213,3.11586234697213,308.934057371001,3.08934057371001,311.586234697213,3.11586234697213,308.934057371001,3.08934057371001,760682.208721079,7606.82208721079,757420.652148959,7574.20652148959
"49","Fraxinus pennsylvanica",428.846190911652,4.28846190911652,432.170410248355,4.32170410248355,428.846190911652,4.28846190911652,432.170410248355,4.32170410248355,1023770.41028521,10237.7041028521,1025350.70208881,10253.5070208881
"50","Gleditsia triacanthos",352.92806356244,3.5292806356244,354.944731472688,3.54944731472688,352.92806356244,3.5292806356244,354.944731472688,3.54944731472688,176235.024209953,1762.35024209953,176596.682260126,1765.96682260126
"51","Gordonia lasianthus",259.371235935378,2.59371235935378,256.412055188119,2.56412055188119,259.371235935378,2.59371235935378,256.412055188119,2.56412055188119,48204.4929648839,482.044929648839,48144.3479143082,481.443479143082
"52","Ilex aquifolium",266.343171434174,2.66343171434174,258.293578929961,2.58293578929961,270.453787449366,2.70453787449366,265.013503907352,2.65013503907352,22991.8545629452,229.918545629452,22669.0981031171,226.690981031171
"53","Ilex opaca",247.205076432259,2.47205076432259,246.983653892995,2.46983653892995,247.205076432259,2.47205076432259,246.983653892995,2.46983653892995,105639.006965878,1056.39006965878,105586.141772164,1055.86141772164
"54","Juglans nigra",381.312373185697,3.81312373185697,381.681761727646,3.81681761727646,381.312373185697,3.81312373185697,381.681761727646,3.81681761727646,663557.967402713,6635.57967402713,663911.331783193,6639.11331783193
"55","Juniperus occidentalis",298.888788548637,2.98888788548637,307.218398092705,3.07218398092705,298.888788548637,2.98888788548637,307.218398092705,3.07218398092705,206565.919097128,2065.65919097128,208402.229767333,2084.02229767333
"56","Juniperus thurifera",158.582512409554,1.58582512409554,158.985039749826,1.58985039749826,158.582512409554,1.58582512409554,158.985039749826,1.58985039749826,108458.875095918,1084.58875095918,108070.831247764,1080.70831247764
"57","Juniperus virginiana",243.147113036651,2.43147113036651,245.505655952848,2.45505655952848,243.147113036651,2.43147113036651,245.505655952848,2.45505655952848,1099962.86081486,10999.6286081486,1103069.1213277,11030.691213277
"58","Larix decidua",462.669991739265,4.62669991739265,473.666013852071,4.73666013852071,468.101267965259,4.68101267965259,487.946627622268,4.87946627622268,358656.130245587,3586.56130245587,360371.085531421,3603.71085531421
"59","Larix kaempferi",352.443678219185,3.52443678219185,328.514097183983,3.28514097183983,352.530029151101,3.52530029151101,328.572243091897,3.28572243091897,41010.9154084394,410.109154084393,40238.3389578404,402.383389578404
"60","Larix laricina",260.594866238154,2.60594866238154,260.325822743205,2.60325822743205,261.570022437695,2.61570022437695,261.743936465876,2.61743936465876,468645.542104876,4686.45542104876,468915.571366615,4689.15571366615
"61","Larix occidentalis",470.697397915406,4.70697397915406,464.029845058663,4.64029845058663,470.697397915406,4.70697397915406,464.029845058663,4.64029845058663,529910.309278287,5299.10309278287,526864.907948942,5268.64907948942
"62","Liquidambar styraciflua",360.205709900176,3.60205709900176,358.787027922068,3.58787027922068,360.205709900176,3.60205709900176,358.787027922068,3.58787027922068,2063460.87431949,20634.6087431949,2059746.65011637,20597.4665011637
"63","Liriodendron tulipifera",386.261183787198,3.86261183787198,383.566554638588,3.83566554638588,386.261183787198,3.86261183787198,383.566554638588,3.83566554638588,2089023.35688128,20890.2335688128,2081846.44999207,20818.4644999207
"64","Maclura pomifera",245.332850479375,2.45332850479375,248.168476704477,2.48168476704477,245.332850479375,2.45332850479375,248.168476704477,2.48168476704477,170714.807153276,1707.14807153276,171252.44482604,1712.5244482604
