"","species","c1_total_RMSE_weighted","c1_mean_RMSE_weighted","c2_total_RMSE_weighted","c2_mean_RMSE_weighted","c1_total_RMSE_no_weighted","c1_mean_RMSE_no_weighted","c2_total_RMSE_no_weighted","c2_mean_RMSE_no_weighted","c1_total_AIC","c1_mean_AIC","c2_total_AIC","c2_mean_AIC"
"53","Nyssa sylvatica",12.5279310088676,0.125279310088676,12.5905427450294,0.125905427450294,14.4446429051125,0.144446429051125,14.4944308544023,0.144944308544023,-323740.376816968,-3237.40376816968,-322046.487519282,-3220.46487519282
"54","Ostrya virginiana",13.9512877239724,0.139512877239724,13.9862779759586,0.139862779759586,14.1637296963869,0.141637296963869,14.1920409956216,0.141920409956216,-67180.5419747732,-671.805419747732,-66799.0281615901,-667.990281615901
"55","Oxydendrum arboreum",10.6346102423621,0.106346102423621,10.6275344682018,0.106275344682018,12.0157188895329,0.120157188895329,11.9996194874513,0.119996194874513,-154110.676267622,-1541.10676267622,-154242.008796547,-1542.42008796547
"56","Picea",19.0502067250709,0.190502067250709,19.2412423638875,0.192412423638875,19.0502067250709,0.190502067250709,19.2412423638875,0.192412423638875,-1007.35182941666,-10.0735182941666,-1045.23313350915,-10.4523313350915
"57","Picea abies",20.2465063888204,0.202465063888204,20.342658937175,0.20342658937175,20.4554248068458,0.204554248068458,20.5914225973738,0.205914225973738,-10567.5392790207,-105.675392790207,-10450.0264584726,-104.500264584726
"58","Picea engelmannii",17.5148748341108,0.175148748341108,17.7112872334471,0.177112872334471,19.5770760889203,0.195770760889203,19.2173165754256,0.192173165754256,-119208.436265224,-1192.08436265224,-114639.841650708,-1146.39841650708
"59","Picea glauca",18.7641025533785,0.187641025533785,19.4100894439967,0.194100894439968,19.0909040800619,0.190909040800619,19.6465420921467,0.196465420921467,-80444.4006048057,-804.444006048057,-69319.7050999111,-693.197050999111
"60","Picea mariana",18.5738529315229,0.185738529315229,18.9007250669462,0.189007250669462,20.9216328314894,0.209216328314894,21.1581745689545,0.211581745689545,-118285.129660813,-1182.85129660813,-110842.042489671,-1108.42042489671
"61","Picea rubens",14.8017700433528,0.148017700433528,14.6466114272795,0.146466114272795,14.9022841879067,0.149022841879067,14.7442499418596,0.147442499418596,-152705.809197111,-1527.05809197111,-155924.749511617,-1559.24749511617
"62","Picea sitchensis",17.6191733675346,0.176191733675346,18.0255103609696,0.180255103609696,17.6191733675346,0.176191733675346,18.0255103609696,0.180255103609696,-25808.317441222,-258.08317441222,-23912.9504612933,-239.129504612933
