"","species","a1","a2","comp"
"1323","Carya glabra",0.578001199493596,0.74763412301363,0.00339187828205789
"1324","Carya glabra",0.673090826050383,0.705806337993544,-0.00109985012699973
"1325","Carya glabra",0.609113356698422,0.718863679493299,0.00313090773960459
"1326","Carya glabra",0.677998799666452,0.701395810999751,0.00104994582534448
"1327","Carya glabra",0.707695102863271,0.684426442053626,0.00457908519081571
"1328","Carya glabra",0.484703764591924,0.788822708179827,6.49941341082551e-05
"1329","Carya glabra",0.864120331682931,0.63641951360766,-0.0020114402437036
"1330","Carya glabra",0.736938799292553,0.68203489898631,1.65390010015535e-05
"1331","Carya glabra",0.884911843079477,0.634243975869247,-0.00384902348260992
"1332","Carya glabra",0.785784568008646,0.674968063099333,-0.000584251105668887
"1333","Carya glabra",0.685796882618919,0.699579209589036,0.000260341656754407
"1334","Carya glabra",1.68107668600539,0.486015560156106,-0.0143900189844095
"1335","Carya glabra",1.22521921404198,0.463709090445153,0.0014533901532253
"1336","Carya glabra",1.01466317618415,0.587607904181731,-0.000907522457401499
"1337","Carya glabra",1.08005518865069,0.553977958667103,0.00139450271735757
"1338","Carya glabra",0.566428769097069,0.733147551855764,0.0016013561269901
"1339","Carya glabra",0.755471982787351,0.66716113152012,0.000104993956561227
"1340","Carya glabra",0.807095662906754,0.663744071419189,-0.00151947441486664
"1341","Carya glabra",0.709087924597824,0.674837760477484,0.00384741466207751
"1342","Carya glabra",0.943816845189318,0.622091486757563,-0.00386177899385799
"1343","Carya glabra",1.70399554652683,0.432872736981607,-0.00593098320979159
"1344","Carya glabra",0.643593420996801,0.71548047684787,-0.000231904284476849
"1345","Carya glabra",1.22702997359964,0.543563343706181,-0.0040924883868467
"1346","Carya glabra",0.880968507963273,0.632604026875866,-0.00381355905446893
"1347","Carya glabra",0.83835571603618,0.649289250754518,-5.61320307920755e-05
"1348","Carya glabra",0.969120580301891,0.618390661392036,-0.000773593234331714
"1349","Carya glabra",0.605889194266245,0.734635382836843,-0.000605014683687885
"1350","Carya glabra",0.685532768947418,0.70385818853692,0.00151128656505846
"1351","Carya glabra",0.768687283692323,0.669727633404742,-0.00247761592548433
"1352","Carya glabra",0.781871497660772,0.657774793643067,-0.000916274833004601
"1353","Carya glabra",0.568107211612578,0.742877950186966,0.000596164879572343
"1354","Carya glabra",0.755980445149129,0.657218600921239,0.00267119477169843
"1355","Carya glabra",0.648754832035758,0.722289939821445,-0.00416714408372194
"1356","Carya glabra",0.461903675793539,0.787594652725447,0.00315491249041284
"1357","Carya glabra",0.832871080290293,0.635856417425537,-0.0021623678811812
"1358","Carya glabra",1.19890335589436,0.528074570227602,-0.000440856072275802
"1359","Carya glabra",0.867497578124883,0.628099663159375,-0.000627764044290493
"1360","Carya glabra",0.711888922723598,0.712737171241058,-0.00257121510764313
"1361","Carya glabra",0.852636745074844,0.632596977854025,-0.00167794549655084
"1362","Carya glabra",0.975154209551987,0.61792771072918,-0.00471583567439572
"1363","Carya glabra",1.19237186513199,0.556320821990981,-0.00647013537946233
"1364","Carya glabra",0.562796209631821,0.735572693204722,0.00130186456399998
"1365","Carya glabra",0.818150915137994,0.662686964299086,-0.000507060385321909
"1366","Carya glabra",0.9860106852841,0.596340345392789,0.000565493735507605
"1367","Carya glabra",0.776724429074285,0.682492289559538,-0.00154896454241415
"1368","Carya glabra",0.971032392384812,0.609249506962085,-0.00484431335305329
