"","species","total_RMSE_weighted","mean_RMSE_weighted","total_RMSE_no_weighted","mean_RMSE_no_weighted","total_AIC","mean_AIC"
"70","Picea glauca",295.557771504711,2.95557771504711,305.306887418491,3.05306887418491,808917.068675997,8089.17068675997
"71","Picea mariana",235.073434403627,2.35073434403627,236.386144193348,2.36386144193348,1704516.27084155,17045.1627084155
"72","Picea rubens",271.594183287647,2.71594183287647,276.980765917678,2.76980765917678,736775.91885135,7367.7591885135
"73","Picea sitchensis",691.914237512096,6.91914237512096,710.835551900764,7.10835551900764,388620.928712859,3886.20928712859
"74","Pinus albicaulis",386.377677727897,3.86377677727897,386.377677727897,3.86377677727897,176110.472937935,1761.10472937935
"75","Pinus banksiana",322.216164645294,3.22216164645294,329.714793990028,3.29714793990028,771615.593225214,7716.15593225214
"76","Pinus canariensis",435.662598060374,4.35662598060374,450.487309775283,4.50487309775283,462074.417336042,4620.74417336042
"77","Pinus clausa",312.101939974366,3.12101939974366,347.9040334034,3.479040334034,66528.2709163477,665.282709163477
"78","Pinus contorta",503.403147219252,5.03403147219252,562.264876918601,5.62264876918601,625495.511164381,6254.95511164381
"79","Pinus echinata",395.65829166192,3.9565829166192,397.136610351387,3.97136610351387,1542530.09627145,15425.3009627145
"80","Pinus elliottii",344.912681796216,3.44912681796216,345.792063283192,3.45792063283192,1412249.51560909,14122.4951560909
"81","Pinus jeffreyi",561.104525375522,5.61104525375522,561.104525375522,5.61104525375522,312230.802863198,3122.30802863198
"82","Pinus nigra",427.771386322332,4.27771386322332,435.386301805096,4.35386301805096,1672128.93104058,16721.2893104058
"83","Pinus palustris",358.318467561121,3.58318467561121,358.784949723084,3.58784949723084,118905.570121092,1189.05570121092
"84","Pinus pinaster",428.862412012681,4.28862412012681,437.577783671995,4.37577783671995,5877856.61670695,58778.5661670695
"85","Pinus ponderosa",496.774222041694,4.96774222041694,502.410474584045,5.02410474584045,3964579.22468028,39645.7922468028
"86","Pinus radiata",476.941039640845,4.76941039640845,488.854320886282,4.88854320886282,1198758.09447413,11987.5809447413
"87","Pinus resinosa",372.696464291692,3.72696464291692,382.746637176111,3.82746637176111,1026127.72460466,10261.2772460466
"88","Pinus rigida",339.748901634122,3.39748901634122,341.944900398704,3.41944900398704,480506.145229681,4805.06145229681
"89","Pinus serotina",370.542819096023,3.70542819096023,370.838907000259,3.70838907000259,165767.313678956,1657.67313678956
"90","Pinus strobus",411.343830291001,4.11343830291001,417.563650364762,4.17563650364762,1803130.9592435,18031.309592435
"91","Pinus sylvestris",491.873957465974,4.91873957465974,615.169338946606,6.15169338946606,7317075.60432011,73170.7560432011
"92","Pinus uncinata",315.889815343308,3.15889815343308,320.468191878634,3.20468191878634,470461.088581578,4704.61088581577
"93","Pinus virginiana",364.313374859258,3.64313374859258,373.409950123723,3.73409950123723,1197627.1968009,11976.271968009
"94","Platanus occidentalis",479.696985109392,4.79696985109392,479.729326230687,4.79729326230687,269957.973703666,2699.57973703666
"95","Populus deltoides",527.158509190194,5.27158509190194,541.000120698766,5.41000120698766,195765.359918774,1957.65359918774
"96","Populus grandidentata",330.418722051413,3.30418722051413,331.092446858459,3.31092446858459,1077609.17192819,10776.0917192819
"97","Populus nigra",584.251080395038,5.84251080395038,584.857699382242,5.84857699382242,185132.362840488,1851.32362840488
"98","Populus tremula",390.322380321032,3.90322380321032,420.553979548143,4.20553979548143,444158.822092237,4441.58822092237
"99","Populus tremuloides",345.216774888072,3.45216774888072,364.672281943993,3.64672281943993,3612946.40951497,36129.4640951497
"100","Prunus avium",402.478801915362,4.02478801915362,412.070167133433,4.12070167133433,482145.00335281,4821.4500335281
"101","Prunus serotina",404.809574440631,4.04809574440631,421.257279022576,4.21257279022576,1629065.41351583,16290.6541351583
"102","Pseudotsuga menziesii",786.115712647075,7.86115712647076,799.511683268302,7.99511683268302,4896537.83401316,48965.3783401316
"103","Quercus alba",384.619546328797,3.84619546328797,385.037086062737,3.85037086062737,3502546.03126316,35025.4603126316
"104","Quercus chrysolepis",387.533883463484,3.87533883463484,387.533883463484,3.87533883463484,282531.776386879,2825.31776386879
"105","Quercus coccinea",369.230543888679,3.69230543888679,369.97399895962,3.6997399895962,1003759.24723446,10037.5924723446
"106","Quercus ellipsoidalis",322.980415924752,3.22980415924752,322.980415924752,3.22980415924752,221931.524788314,2219.31524788314
"107","Quercus faginea",307.673906247672,3.07673906247672,307.673906247672,3.07673906247672,267139.175274999,2671.39175274999
"108","Quercus falcata",366.56778902574,3.6656778902574,367.644551031782,3.67644551031782,669023.863835483,6690.23863835483
"109","Quercus ilex",248.960066667657,2.48960066667657,402.182381450554,4.02182381450554,1444497.02364053,14444.9702364053
"110","Quercus kelloggii",494.226733134981,4.94226733134981,494.226733134981,4.94226733134981,330544.013620187,3305.44013620187
"111","Quercus laurifolia",415.678748145432,4.15678748145432,415.678748145432,4.15678748145432,442166.956069325,4421.66956069325
"112","Quercus lyrata",407.675673062696,4.07675673062696,407.675673062696,4.07675673062696,99829.3480565566,998.293480565566
"113","Quercus macrocarpa",361.996599752283,3.61996599752283,361.996599752283,3.61996599752283,407025.163244066,4070.25163244066
"114","Quercus marilandica",328.733827307683,3.28733827307683,328.733827307683,3.28733827307683,235719.054351402,2357.19054351402
"115","Quercus michauxii",413.224722773357,4.13224722773357,417.931092258671,4.17931092258671,1663203.36552218,16632.0336552218
"116","Quercus muehlenbergii",445.43953032604,4.4543953032604,445.43953032604,4.4543953032604,157080.700567309,1570.80700567309
"117","Quercus nigra",417.31245218653,4.1731245218653,419.957106424534,4.19957106424534,754449.069862497,7544.49069862497
"118","Quercus pagoda",400.834771275091,4.00834771275091,400.834771275091,4.00834771275091,238897.047839017,2388.97047839017
"119","Quercus petraea",464.328144175873,4.64328144175873,470.125566454023,4.70125566454023,4564427.07655398,45644.2707655398
"120","Quercus phellos",410.806584810934,4.10806584810934,417.948973589794,4.17948973589794,276146.077522451,2761.46077522451
"121","Quercus pubescens",405.01844892392,4.0501844892392,405.01844892392,4.0501844892392,809509.975295581,8095.09975295581
"122","Quercus pyrenaica",422.084523110064,4.22084523110064,522.696243159948,5.22696243159948,584918.808501849,5849.18808501849
"123","Quercus robur",457.113688568454,4.57113688568454,502.420614935481,5.02420614935481,5779710.40662234,57797.1040662234
"124","Quercus rubra",399.190735680454,3.99190735680454,400.645945574765,4.00645945574765,2676865.29560975,26768.6529560975
"125","Quercus stellata",399.834609128481,3.99834609128481,411.750301210726,4.11750301210726,1566175.21517254,15661.7521517254
"126","Quercus suber",227.20597409018,2.2720597409018,228.308974138326,2.28308974138326,605891.873269106,6058.91873269106
"127","Quercus velutina",393.691804003908,3.93691804003908,394.870321863214,3.94870321863214,1860805.11168415,18608.0511168415
"128","Quercus virginiana",401.724137305601,4.01724137305601,401.724137305601,4.01724137305601,226967.802943681,2269.67802943681
"129","Robinia pseudoacacia",458.091125876922,4.58091125876922,461.964925405469,4.61964925405469,726890.320650056,7268.90320650056
"130","Sabal palmetto",376.088093993046,3.76088093993046,376.088093993046,3.76088093993046,122595.811207092,1225.95811207092
"131","Salix caprea",358.875824227422,3.58875824227422,359.035754400213,3.59035754400213,204751.032226457,2047.51032226457
"132","Salix nigra",504.119487661525,5.04119487661525,504.119487661525,5.04119487661525,179097.189556127,1790.97189556127
"133","Sassafras albidum",402.698456066845,4.02698456066845,402.698456066845,4.02698456066845,367542.761931238,3675.42761931238
"134","Sorbus aria",346.712592504407,3.46712592504407,358.868316046581,3.5886831604658,75871.9299186546,758.719299186546
"135","Sorbus torminalis",317.369944177755,3.17369944177755,402.908067743705,4.02908067743705,83170.9460292802,831.709460292802
"136","Taxodium distichum",454.082482720563,4.54082482720563,454.082482720563,4.54082482720563,326290.968189208,3262.90968189208
"137","Thuja occidentalis",214.926190473388,2.14926190473388,219.85095623976,2.1985095623976,1636373.77800009,16363.7377800009
"138","Thuja plicata",617.19579198744,6.1719579198744,617.649602895804,6.17649602895805,596517.533250062,5965.17533250062
"139","Tilia americana",418.382556144882,4.18382556144882,425.56131246466,4.2556131246466,1014003.3164686,10140.033164686
"140","Tilia cordata",387.159726924803,3.87159726924803,387.800952727893,3.87800952727893,158823.390239765,1588.23390239765
"141","Tilia platyphyllos",396.358652024005,3.96358652024005,405.20950520263,4.0520950520263,100503.678382126,1005.03678382126
"142","Tsuga canadensis",357.227585643873,3.57227585643873,376.86395703574,3.7686395703574,1550157.34206673,15501.5734206673
"143","Tsuga heterophylla",676.998422798769,6.76998422798769,681.787898169285,6.81787898169285,1921634.01098904,19216.3401098904
"144","Tsuga mertensiana",531.710557375619,5.31710557375619,532.590534372528,5.32590534372528,635049.879848201,6350.49879848201
"145","Ulmus alata",337.103475542773,3.37103475542773,337.103475542773,3.37103475542773,426719.668040633,4267.19668040633
"146","Ulmus americana",361.719177752221,3.61719177752221,363.957796438395,3.63957796438395,906012.976825003,9060.12976825003
"147","Ulmus rubra",373.548651734578,3.73548651734578,373.548651734578,3.73548651734578,255599.753676359,2555.99753676359
