"","(Intercept)","h_nocomp","rep_diam","rep_height","rep_ratio","df","logLik","AICc","delta","weight","cond","order"
"32",1.11110638529212,NA,-1.36665052592479,NA,NA,3,1.41578617297706,4.58019235992822,13.5338122374716,0.000392950558332002,"codominance","gymno"
"18",0.887608603360454,NA,NA,NA,NA,2,-0.185009800262419,5.0366862671915,13.9903061447349,0.000312760225592653,"codominance","gymno"
"112",0.730608977859105,NA,-2.01173130348196,NA,0.77158151547533,4,2.22561944228437,6.04876111543126,15.0023809929746,0.000188556825016619,"codominance","gymno"
"52",1.43738548171413,NA,NA,0.732737528951822,NA,3,0.680684952182023,6.05039480151831,15.0040146790617,0.000188402866574297,"codominance","gymno"
"72",1.22275168903774,NA,-1.20295609369505,0.184478739468737,NA,4,1.45238731194488,7.59522537611025,16.5488452536536,8.70225508372868e-05,"codominance","gymno"
"92",0.902985580425855,NA,NA,NA,-0.0244131454136116,3,-0.184008656896756,7.77978201967587,16.7334018972192,7.93516283848646e-05,"codominance","gymno"
"132",1.34749348059415,NA,NA,1.25630127078548,0.766394300425654,4,1.30981471008092,7.88037057983816,16.8339904573815,7.54593943372992e-05,"codominance","gymno"
"152",1.02259951055483,NA,-1.61792595706946,0.729876999790463,1.07519972147391,5,2.7247256478517,8.5505487042966,17.50416858184,5.39741714684655e-05,"codominance","gymno"
"83",-0.985530734433938,0.10529235214323,0.166804818069385,0.224971373136444,NA,5,24.4174669506277,-34.8349339012553,0,0.869648164254157,"suppressed","gymno"
"163",-0.988039345652706,0.108194481491307,0.172985061006145,0.226240722301164,-0.00455295452733018,6,24.4435609261436,-30.8871218522872,3.94781204896815,0.120805606574703,"suppressed","gymno"
"133",-0.949602118992993,NA,NA,0.146935861230482,0.0499221875044078,4,17.1030991765879,-23.7061983531758,11.1287355480796,0.00333249391432576,"suppressed","gymno"
"143",-0.945629917350858,0.0327222484176104,NA,0.146127692280977,0.0474283307197671,5,18.3001479939885,-22.600295987977,12.2346379132783,0.00191701591164021,"suppressed","gymno"
"53",-0.968571984128678,NA,NA,0.117360900304024,NA,3,14.7383600935102,-22.0649554811381,12.7699784201173,0.00146682398776864,"suppressed","gymno"
"63",-0.963107951384905,0.0363417256098474,NA,0.118104171482528,NA,4,15.9233551524094,-21.3467103048187,13.4882235964366,0.00102426668034093,"suppressed","gymno"
"73",-0.979493928459025,NA,0.0555612824674364,0.152487741719264,NA,4,15.8166473790589,-21.1332947581179,13.7016391431375,0.000920598892500725,"suppressed","gymno"
"153",-0.957414823149282,NA,0.026206165080563,0.159354873626592,0.0429187305535398,5,17.3390945020061,-20.6781890040122,14.1567448972431,0.000733238886546163,"suppressed","gymno"
"19",-0.905129197340378,NA,NA,NA,NA,2,10.1936547217906,-15.7206427769145,19.1142911243408,6.14791711993226e-05,"suppressed","gymno"
"23",-0.89945305809536,0.0351665020603581,NA,NA,NA,3,10.8974972169861,-14.3832297280898,20.4517041731655,3.15001375771116e-05,"suppressed","gymno"
"33",-0.908690747234337,NA,-0.0245304812649402,NA,NA,3,10.3894603419748,-13.3671559780673,21.467777923188,1.89528636904002e-05,"suppressed","gymno"
"93",-0.895478252100572,NA,NA,NA,0.0137823619550496,3,10.3169147418206,-13.2220647777589,21.6128691234964,1.76266055253065e-05,"suppressed","gymno"
"103",-0.891634314536854,0.0342310127111933,NA,NA,0.0113814574104501,4,10.9867185881878,-11.4734371763756,23.3614967248797,7.35290620777594e-06,"suppressed","gymno"
"113",-0.889325658505516,NA,-0.0497924793971655,NA,0.0328928432795679,4,10.9033244234313,-11.3066488468625,23.5282850543928,6.76458877567872e-06,"suppressed","gymno"
"43",-0.899479994888459,0.0351145154807502,-0.000127735560044169,NA,NA,4,10.8975012508875,-11.2950025017751,23.5399313994802,6.72531187711696e-06,"suppressed","gymno"
"123",-0.889761933875735,0.0230759568324186,-0.0252906061675689,NA,0.0218704534298492,5,11.0704324492493,-8.14086489849862,26.6940690027567,1.38931316420939e-06,"suppressed","gymno"
