"","species","a1_h_mean","a2_h_mean","ci_h_mean","a1_h_sd","a2_h_sd","ci_h_sd","a1_rcd_mean","a2_rcd_mean","ci_rcd_mean","a1_rcd_sd","a2_rcd_sd","ci_rcd_sd","a1_cd_mean","a2_cd_mean","ci_cd_mean","a1_cd_sd","a2_cd_sd","ci_cd_sd"
"21","Oxydendrum arboreum",3.01739011924547,0.505554908544626,0.0142398653744974,0.200190177440474,0.0190628231727755,0.00222308345622463,-0.809418996948615,0.00577521335392621,-0.00255092266253643,0.072120586857678,0.00229707687227326,0.00171657504760964,1.79281152218267,0.538457464690867,-0.00510361664222006,3.00522219693043,0.287674426316619,0.0979771340738578
"22","Picea abies",1.81559047721219,0.695035523502642,0.00864561130108826,0.0412267361088222,0.00580640367069924,0.000399418931916728,0.509790704143775,-0.00793173415318859,-0.00837278383774247,0.2183741651578,0.00456632389839438,0.00356377302816529,0.970739387327794,0.475716198612564,-0.00189973409520821,0.259765585401526,0.0651627644826007,0.00147156349428298
"23","Picea engelmannii",1.0060753088645,0.82826142854976,0.00574382201786391,0.0402932172071784,0.00983685652868025,0.000437812575963104,0.919701400282838,-0.00362350762688985,-0.0137856085408324,0.0630828777750272,0.00105022018873639,0.0016629365611038,0.647406641688189,0.524438737544039,0.000490268126658304,0.215474939054695,0.0899477319720617,0.00139503250637235
"24","Pinus contorta",3.30043900250421,0.481614822340158,0.0103264322218752,0.243698325218726,0.0202794255019799,0.00264313135930181,-0.240077245849533,0.00981019954496281,-0.00840895474719444,0.0817352384955694,0.00159151926037243,0.00194903920364333,0.603494997512271,0.626347171916469,-0.00259077255930761,0.33544750810735,0.155874824269798,0.00295713680543
"25","Pinus echinata",1.33233808993839,0.770411520642585,0.0193355675788286,0.0431704557751762,0.00841584817903984,0.000632720923644414,-0.633573709703108,0.00181453904196654,-0.0221811094490064,0.0405671630104013,0.000909979274960332,0.0013534028463188,0.378427944523216,0.823469962652692,-0.0018841895872112,0.135683944584811,0.0911811820960731,0.0017827073488935
"26","Pinus elliottii",1.67667548269196,0.723360237532934,0.0226891491686338,0.0488642427982333,0.00811109448423184,0.00104838610502899,-0.631111424198389,-0.000930793847836716,-0.0202872538400187,0.0414890411014096,0.00117230465352704,0.00131368720350253,0.550144672330748,0.729781487046988,0.00638777341016899,0.241584940373571,0.15491288827468,0.0965737927551246
"27","Pinus ponderosa",0.639054586895858,0.90202323047352,0.00708920073882414,0.0154325527525767,0.00556263912681499,0.00025524895812215,0.446575457208813,-0.00243315154244526,-0.0227766966827408,0.0262834408528673,0.000358201309932922,0.00110969071631627,0.633921583247281,0.622829826012372,-0.00148191281738214,0.260504907406753,0.111315046682468,0.00135993297011224
"28","Pinus strobus",1.09701296932542,0.79154082956016,0.0114030763053257,0.035078673102106,0.0082675807812223,0.000570318898426449,0.549269016008814,-0.0146547997565858,-0.0271916180553298,0.0620437592880128,0.0011790518994218,0.00176605021297464,0.690195708825767,0.719912987262514,-0.00361904553751024,0.504342931017563,0.192197642998978,0.00696348513622575
"29","Pinus sylvestris",1.10148580327386,0.733598578109017,0.0154823391296786,0.0211975980170105,0.00515044890547483,0.000364628279925273,0.193795792195478,-0.00553213276892632,-0.0118522057740758,0.174210790100002,0.00513780910959708,0.00284464401769226,1.37425336222543,0.373258191309027,0.00180776320587897,0.0718807440141819,0.0141733865190503,0.00105352046460356
"30","Pinus taeda",1.34163584461274,0.768451073005723,0.0202836106706775,0.0176429679654507,0.00368162458660839,0.000333290562921874,-0.209000576999381,-0.00606590532700663,-0.0269573345407724,0.0162498805609242,0.0004425050425869,0.000555682451888919,0.426924060088663,0.788408254245974,-0.00179527853072471,0.0623163922871186,0.0410584127180879,0.000783960055359334
"31","Pinus virginiana",1.65951629674438,0.704574204861467,0.0181272746004661,0.0738139888864131,0.0121697798239593,0.000895155135876849,-0.251603816076236,-0.0096887677898607,-0.0228260937103305,0.062184191616798,0.00160591011384832,0.0017075999515085,0.823567197902154,0.618061462067076,-0.00641474746047424,0.22430916526058,0.0800935995717196,0.00334821420915997
"32","Populus tremuloides",3.09763553832658,0.54037354897723,0.0154587051420885,0.0628044088575987,0.00573900382281439,0.000888119427095244,-0.377975521399225,-0.00755037534634654,-0.0184642685356337,0.0241269251917599,0.000685797773650537,0.000777049340179138,0.467577647446793,0.749552058140421,-0.000699811532811961,0.111415949325213,0.0744359377622339,0.0010323673425321
"33","Prunus serotina",2.12846606706142,0.633716824077134,0.0179850513457877,0.0651116179218083,0.0082065857425784,0.00102202191594427,-0.356361195346417,-0.00727351229454563,-0.0153986756263088,0.03496497880471,0.000853460375384095,0.00117166036719748,0.993858418254344,0.559468418065519,0.000291178180952406,0.311499166563468,0.0853475091126571,0.00296957565395908
